第一卦 乾  
第二卦 坤  
第三卦 屯  
第四卦 蒙  
第五卦 需  
第六卦 訟  
第七卦 師  
第八卦 比  
第九卦 小畜  
第十卦 履  
第十一卦 泰  
第十二卦 否  
第十三卦 同人  
第十四卦 大有  
第十五卦 謙  
第十六卦 豫  
第十七卦 隨  
第十八卦 蠱  
第十九卦 臨  
第二十卦 觀  
第二十一卦 噬嗑  
第二十二卦 賁  
第二十三卦 剝  
第二十四卦 復  
第二十五卦 無妄  
第二十六卦 大畜  
第二十七卦 頤  
第二十八卦 大過  
第二十九卦 坎  
第三十卦 離  
第三十一卦 咸  
第三十二卦 恆  
第三十三卦 遯
第三十四卦 大壯  
第三十五卦 晉  
第三十六卦 明夷  
第三十七卦 家人  
第三十八卦 睽  
第三十九卦 蹇  
第四十卦 解  
第四十一卦 損  
第四十二卦 益  
第四十三卦 夬
第四十四卦 姤
第四十五卦 萃  
第四十六卦 升  
第四十七卦 困  
第四十八卦 井  
第四十九卦 革  
第五十卦 鼎  
第五十一卦 震  
第五十二卦 艮  
第五十三卦 漸  
第五十四卦 歸妹  
第五十五卦 丰  
第五十六卦 旅  
第五十七卦 巽  
第五十八卦 兌  
第五十九卦 渙  
第六十卦 節  
第六十一卦 中孚  
第六十二卦 小過  
第六十三卦 既濟  
第六十四卦 未濟  
