第一卦 乾 乾為天 乾上乾下  
第二卦 坤 坤為地 坤上坤下  
第三卦 屯 水雷屯 坎上震下  
第四卦 蒙 山水蒙 艮上坎下  
第五卦 需 水天需 坎上乾下  
第六卦 訟 天水訟 乾上坎下  
第七卦 師 地水師 坤上坎下  
第八卦 比 水地比 坎上下坤  
第九卦 小畜 風天小畜 巽上乾下  
第十卦 履 天澤履 乾上兌下  
第十一卦 泰 天地泰 坤上乾下  
第十二卦 否 地天否 乾上坤下  
第十三卦 同人 天火同人 乾上離下  
第十四卦 大有 火天大有 離上乾下  
第十五卦 謙 地山謙 坤上艮下  
第十六卦 豫 雷地豫 震上坤下  
第十七卦 隨 澤雷隨 兌上震下  
第十八卦 蠱 山風蠱 艮上巽下  
第十九卦 臨 地澤臨 坤上兌下  
第二十卦 觀 風地觀 巽上坤下  
第二十一卦 噬嗑 火雷噬嗑 離上震下  
第二十二卦 賁 山火賁 艮上離下  
第二十三卦 剝 山地剝 艮上坤下  
第二十四卦 復 地雷復 坤上震下  
第二十五卦 無妄 天雷無妄 乾上震下  
第二十六卦 大畜 山天大畜 艮上乾下  
第二十七卦 頤 山雷頤 艮上震下  
第二十八卦 大過 澤風大過 兌上巽下  
第二十九卦 坎 坎為水 坎上坎下  
第三十卦 離 離為火 離上離下  
第三十一卦 咸 澤山咸 兌上艮下  
第三十二卦 恆 雷風恆 震上巽下  
第三十三卦 遯 天山遯 乾上艮下
第三十四卦 大壯 雷天大壯 震上乾下  
第三十五卦 晉 火地晉 離上坤下  
第三十六卦 明夷 地火明夷 坤上離下  
第三十七卦 家人 風火家人 巽上離下  
第三十八卦 睽 火澤睽 離上兌下  
第三十九卦 蹇 水山蹇 坎上艮下  
第四十卦 解 雷水解 震上坎下  
第四十一卦 損 山澤損 艮上兌下  
第四十二卦 益 風雷益 巽上震下  
第四十三卦 夬 澤天夬 兌上乾下
第四十四卦 姤 天風姤 乾上巽下
第四十五卦 萃 澤地萃 兌上坤下  
第四十六卦 升 地風升 坤上巽下  
第四十七卦 困 澤水困 兌上坎下  
第四十八卦 井 水風井 坎上巽下  
第四十九卦 革 澤火革 兌上離下  
第五十卦 鼎 火風鼎 離上巽下  
第五十一卦 震 震為雷 震上震下  
第五十二卦 艮 艮為山 艮上艮下  
第五十三卦 漸 風山漸 巽上艮下  
第五十四卦 歸妹 雷澤歸妹 震上兌下  
第五十五卦 丰 雷火丰 震上離下  
第五十六卦 旅 火山旅 離上艮下  
第五十七卦 巽 巽為風 巽上巽下  
第五十八卦 兌 兌為澤 兌上兌下  
第五十九卦 渙 風水渙 巽上坎下  
第六十卦 節 水澤節 坎上兌下  
第六十一卦 中孚 風澤中孚 巽上兌下  
第六十二卦 小過 雷山小過 震上艮下  
第六十三卦 既濟 水火既濟 坎上離下  
第六十四卦 未濟 火水未濟 離上坎下  
